X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
1,2,aug,tue,94.8,108.3,647.1,17,18.6,51,4.5,0,0
1,2,aug,wed,92.1,111.2,654.1,9.6,16.6,47,0.9,0,0
1,2,aug,thu,91.7,114.3,661.3,6.3,20.2,45,3.6,0,0
1,2,sep,thu,92.9,137,706.4,9.2,21.5,15,0.9,0,0
1,2,sep,thu,92.9,137,706.4,9.2,25.4,27,2.2,0,0
4,4,sep,sun,89.7,90,704.4,4.8,17.8,64,1.3,0,0
3,4,feb,sat,83.9,8,30.2,2.6,12.7,48,1.8,0,0
3,4,aug,sun,91.4,142.4,601.4,10.6,19.8,39,5.4,0,0
3,4,aug,tue,88.8,147.3,614.5,9,14.4,66,5.4,0,0
2,4,aug,tue,94.8,108.3,647.1,17,20.1,40,4,0,0
2,4,sep,sat,92.5,121.1,674.4,8.6,24.1,29,4.5,0,0
2,4,jan,sat,82.1,3.7,9.3,2.9,5.3,78,3.1,0,0
4,5,mar,fri,85.9,19.5,57.3,2.8,12.7,52,6.3,0,0
4,5,mar,thu,91.4,30.7,74.3,7.5,18.2,29,3.1,0,0
4,5,aug,sun,90.2,99.6,631.2,6.3,21.4,33,3.1,0,0
4,5,sep,sat,92.5,88,698.6,7.1,20.3,45,3.1,0,0
4,5,sep,mon,88.6,91.8,709.9,7.1,17.4,56,5.4,0,0
4,4,mar,fri,85.9,19.5,57.3,2.8,13.7,43,5.8,0,0
3,4,mar,fri,91.7,33.3,77.5,9,18.8,18,4.5,0,0
3,4,sep,sun,89.7,90,704.4,4.8,22.8,39,3.6,0,0
3,4,sep,sun,92.4,124.1,680.7,8.5,22.5,42,5.4,0,0
3,4,sep,tue,84.4,73.4,671.9,3.2,17.9,45,3.1,0,0
3,4,sep,fri,94.3,85.1,692.3,15.9,19.8,50,5.4,0,0
3,4,oct,sun,92.6,46.5,691.8,8.8,20.6,24,5.4,0,0
3,5,mar,mon,87.6,52.2,103.8,5,9,49,2.2,0,0
3,5,sep,fri,93.5,149.3,728.6,8.1,17.2,43,3.1,0,0
3,5,oct,wed,91.4,37.9,673.8,5.2,15.9,46,3.6,0,0
2,5,oct,sun,92.6,46.5,691.8,8.8,15.4,35,0.9,0,0
4,6,feb,sat,68.2,21.5,87.2,0.8,15.4,40,2.7,0,0
4,6,mar,mon,87.2,23.9,64.7,4.1,14,39,3.1,0,0
4,6,mar,sun,89.3,51.3,102.2,9.6,10.6,46,4.9,0,0
4,6,sep,thu,93.7,80.9,685.2,17.9,17.6,42,3.1,0,0
3,5,mar,tue,88.1,25.7,67.6,3.8,14.9,38,2.7,0,0
3,5,aug,sat,93.5,139.4,594.2,20.3,17.6,52,5.8,0,0
3,6,sep,sun,92.4,124.1,680.7,8.5,17.2,58,1.3,0,0
3,6,sep,mon,90.9,126.5,686.5,7,15.6,66,3.1,0,0
9,9,jul,tue,85.8,48.3,313.4,3.9,18,42,2.7,0,0.36
1,4,sep,tue,91,129.5,692.6,7,21.7,38,2.2,0,0.43
2,5,sep,mon,90.9,126.5,686.5,7,21.9,39,1.8,0,0.47
1,2,aug,wed,95.5,99.9,513.3,13.2,23.3,31,4.5,0,0.55
8,6,aug,fri,90.1,108,529.8,12.5,21.2,51,8.9,0,0.61
1,2,jul,sat,90,51.3,296.3,8.7,16.6,53,5.4,0,0.71
2,5,aug,wed,95.5,99.9,513.3,13.2,23.8,32,5.4,0,0.77
6,5,aug,thu,95.2,131.7,578.8,10.4,27.4,22,4,0,0.9
5,4,mar,mon,90.1,39.7,86.6,6.2,13.2,40,5.4,0,0.95
8,3,sep,tue,84.4,73.4,671.9,3.2,24.2,28,3.6,0,0.96
6,5,mar,thu,84.9,18.2,55,3,5.3,70,4.5,0,2.14
6,5,aug,wed,92.1,111.2,654.1,9.6,16.6,47,0.9,0,2.29
6,5,aug,wed,96,127.1,570.5,16.5,23.4,33,4.5,0,2.51
6,5,mar,fri,91.2,48.3,97.8,12.5,14.6,26,9.4,0,2.53
8,6,aug,thu,95.2,131.7,578.8,10.4,20.7,45,2.2,0,2.55
